"yearID","teamID","name","R","RA","W","L","WinPct"
2006,"ARI","Arizona Diamondbacks",773,788,76,86,0.469135802469136
2006,"ATL","Atlanta Braves",849,805,79,83,0.487654320987654
2006,"BAL","Baltimore Orioles",768,899,70,92,0.432098765432099
2006,"BOS","Boston Red Sox",820,825,86,76,0.530864197530864
2006,"CHA","Chicago White Sox",868,794,90,72,0.555555555555556
2006,"CHN","Chicago Cubs",716,834,66,96,0.407407407407407
2006,"CIN","Cincinnati Reds",749,801,80,82,0.493827160493827
2006,"CLE","Cleveland Indians",870,782,78,84,0.481481481481481
2006,"COL","Colorado Rockies",813,812,76,86,0.469135802469136
2006,"DET","Detroit Tigers",822,675,95,67,0.58641975308642
2006,"FLO","Florida Marlins",758,772,78,84,0.481481481481481
2006,"HOU","Houston Astros",735,719,82,80,0.506172839506173
2006,"KCA","Kansas City Royals",757,971,62,100,0.382716049382716
2006,"LAA","Los Angeles Angels of Anaheim",766,732,89,73,0.549382716049383
2006,"LAN","Los Angeles Dodgers",820,751,88,74,0.54320987654321
2006,"MIL","Milwaukee Brewers",730,833,75,87,0.462962962962963
2006,"MIN","Minnesota Twins",801,683,96,66,0.592592592592593
2006,"NYA","New York Yankees",930,767,97,65,0.598765432098765
2006,"NYN","New York Mets",834,731,97,65,0.598765432098765
2006,"OAK","Oakland Athletics",771,727,93,69,0.574074074074074
2006,"PHI","Philadelphia Phillies",865,812,85,77,0.524691358024691
2006,"PIT","Pittsburgh Pirates",691,797,67,95,0.41358024691358
2006,"SDN","San Diego Padres",731,679,88,74,0.54320987654321
2006,"SEA","Seattle Mariners",756,792,78,84,0.481481481481481
2006,"SFN","San Francisco Giants",746,790,76,85,0.472049689440994
2006,"SLN","St. Louis Cardinals",781,762,83,78,0.515527950310559
2006,"TBA","Tampa Bay Devil Rays",689,856,61,101,0.376543209876543
2006,"TEX","Texas Rangers",835,784,80,82,0.493827160493827
2006,"TOR","Toronto Blue Jays",809,754,87,75,0.537037037037037
2006,"WAS","Washington Nationals",746,872,71,91,0.438271604938272
2007,"ARI","Arizona Diamondbacks",712,732,90,72,0.555555555555556
2007,"ATL","Atlanta Braves",810,733,84,78,0.518518518518518
2007,"BAL","Baltimore Orioles",756,868,69,93,0.425925925925926
2007,"BOS","Boston Red Sox",867,657,96,66,0.592592592592593
2007,"CHA","Chicago White Sox",693,839,72,90,0.444444444444444
2007,"CHN","Chicago Cubs",752,690,85,77,0.524691358024691
2007,"CIN","Cincinnati Reds",783,853,72,90,0.444444444444444
2007,"CLE","Cleveland Indians",811,704,96,66,0.592592592592593
2007,"COL","Colorado Rockies",860,758,90,73,0.552147239263804
2007,"DET","Detroit Tigers",887,797,88,74,0.54320987654321
2007,"FLO","Florida Marlins",790,891,71,91,0.438271604938272
2007,"HOU","Houston Astros",723,813,73,89,0.450617283950617
2007,"KCA","Kansas City Royals",706,778,69,93,0.425925925925926
2007,"LAA","Los Angeles Angels of Anaheim",822,731,94,68,0.580246913580247
2007,"LAN","Los Angeles Dodgers",735,727,82,80,0.506172839506173
2007,"MIL","Milwaukee Brewers",801,776,83,79,0.512345679012346
2007,"MIN","Minnesota Twins",718,725,79,83,0.487654320987654
2007,"NYA","New York Yankees",968,777,94,68,0.580246913580247
2007,"NYN","New York Mets",804,750,88,74,0.54320987654321
2007,"OAK","Oakland Athletics",741,758,76,86,0.469135802469136
