"yearID","teamID","name","G","R","RA","W","L","WinPct"
2008,"ARI","Arizona Diamondbacks",162,720,706,82,80,0.506172839506173
2008,"ATL","Atlanta Braves",162,753,778,72,90,0.444444444444444
2008,"BAL","Baltimore Orioles",161,782,869,68,93,0.422360248447205
2008,"BOS","Boston Red Sox",162,845,694,95,67,0.58641975308642
2008,"CHA","Chicago White Sox",163,811,729,89,74,0.54601226993865
2008,"CHN","Chicago Cubs",161,855,671,97,64,0.60248447204969
2008,"CIN","Cincinnati Reds",162,704,800,74,88,0.45679012345679
2008,"CLE","Cleveland Indians",162,805,761,81,81,0.5
2008,"COL","Colorado Rockies",162,747,822,74,88,0.45679012345679
2008,"DET","Detroit Tigers",162,821,857,74,88,0.45679012345679
2008,"FLO","Florida Marlins",161,770,767,84,77,0.521739130434783
2008,"HOU","Houston Astros",161,712,743,86,75,0.53416149068323
2008,"KCA","Kansas City Royals",162,691,781,75,87,0.462962962962963
2008,"LAA","Los Angeles Angels of Anaheim",162,765,697,100,62,0.617283950617284
2008,"LAN","Los Angeles Dodgers",162,700,648,84,78,0.518518518518518
2008,"MIL","Milwaukee Brewers",162,750,689,90,72,0.555555555555556
2008,"MIN","Minnesota Twins",163,829,745,88,75,0.539877300613497
2008,"NYA","New York Yankees",162,789,727,89,73,0.549382716049383
2008,"NYN","New York Mets",162,799,715,89,73,0.549382716049383
2008,"OAK","Oakland Athletics",161,646,690,75,86,0.46583850931677
2008,"PHI","Philadelphia Phillies",162,799,680,92,70,0.567901234567901
2008,"PIT","Pittsburgh Pirates",162,735,884,67,95,0.41358024691358
2008,"SDN","San Diego Padres",162,637,764,63,99,0.388888888888889
2008,"SEA","Seattle Mariners",162,671,811,61,101,0.376543209876543
2008,"SFN","San Francisco Giants",162,640,759,72,90,0.444444444444444
2008,"SLN","St. Louis Cardinals",162,779,725,86,76,0.530864197530864
2008,"TBA","Tampa Bay Rays",162,774,671,97,65,0.598765432098765
2008,"TEX","Texas Rangers",162,901,967,79,83,0.487654320987654
2008,"TOR","Toronto Blue Jays",162,714,610,86,76,0.530864197530864
2008,"WAS","Washington Nationals",161,641,825,59,102,0.366459627329193
