"season","alpha_hat","beta_hat","R_avg","gamma_hat","lower_bound","upper_bound","R_squared"
2006,0.499997443958797,0.000602595911856632,786.633333333333,1.89608812318729,1.56273937576024,2.22943687061434,0.829011584631819
2007,0.499979802570123,0.000526370014087286,777.4,1.63680019580582,1.3249173205802,1.94868307103145,0.804971639340797
2008,0.499964434960434,0.000642294956710762,752.833333333333,1.93416421297501,1.62099201568423,2.24733641026579,0.851102604806372
2009,0.4999669282767,0.000656504389071642,747.3,1.96242291981295,1.64156964882314,2.28327619080277,0.848620604054012
2010,0.5,0.000575268816167246,710.266666666667,1.63437705798556,1.48871183810838,1.78004227786274,0.949661362091382
2011,0.500001278020602,0.000639023727804829,693.6,1.77290743042172,1.50333908236932,2.04247577847411,0.866345851638527
2012,0.5,0.000693558351219076,700.566666666667,1.94353544900951,1.69005584837896,2.19701504964006,0.898062679563935
2013,0.499974753212654,0.000632697441690729,675.166666666667,1.70870489085943,1.4915205002036,1.92588928151526,0.902683988679475
2014,0.5,0.000678576891744308,658.7,1.7879143943679,1.49437724895642,2.08145153977939,0.847551172374837
2015,0.49999233187639,0.000600525169452987,688.233333333333,1.65320575649278,1.31472685715131,1.99168465583424,0.781416479220015
2016,0.500031950515042,0.000578890301955234,724.8,1.67831876342861,1.3803275733103,1.97630995354693,0.826193771838706
2017,0.5,0.000541557107045703,752.733333333333,1.63059234550748,1.42051152959452,1.84067316142043,0.900279422543571
2018,0.499918959380742,0.000598994710000434,721,1.72750074364125,1.51395517581291,1.9410463114696,0.907466167630853
2019,0.499946323134729,0.00061055337702459,782.233333333333,1.91038081315147,1.74333309069662,2.07742853560632,0.951453889849767
2020,0.499904214559387,0.00162425077545095,278.133333333333,1.8070331293817,1.51682251361318,2.09724374515022,0.853158287053089
2021,0.500001278020602,0.000586291340780984,733.666666666667,1.72056965474526,1.48242142619463,1.95871788329589,0.886648529308
2022,0.5,0.00060707917875638,693.9,1.68500896855621,1.53247717972487,1.83754075738755,0.948153390103265
2023,0.5,0.000546452223536805,747.733333333333,1.63440217045035,1.41278005683922,1.85602428406148,0.890712309807957
2024,0.500024282391432,0.000619206217786118,711.433333333333,1.76209577416121,1.57782170713228,1.94636984119015,0.931985129663942
2025,0.5,0.00052815519428092,720.466666666667,1.52207284922504,1.28381907310937,1.76032662534071,0.859471153727972
