"season","gamma_hat","lower_bound","upper_bound"
2006,1.95336730845882,1.62614650930202,2.28379285836041
2007,1.6779110658669,1.3593457635167,1.99929511616029
2008,1.93244431425388,1.62082067791895,2.24707194226828
2009,1.9556979603648,1.6034759990998,2.31175639153814
2010,1.63834784644593,1.48829559884979,1.78951608351667
2011,1.84657376117381,1.58365174613418,2.11275187323978
2012,1.9760577825824,1.72139417548621,2.23321887424051
2013,1.75706991846275,1.54467991357673,1.97154986021264
2014,1.80979128562052,1.49821617013387,2.12418416390145
2015,1.71134247532361,1.3865766429855,2.04012091565549
2016,1.69118699522344,1.38326389993835,2.00389627012803
2017,1.61317086415437,1.40120844232012,1.82738684125783
2018,1.74271391456143,1.50754943922634,1.9815577281015
2019,1.94081945230939,1.76493425561537,2.11917701654476
2020,1.86059419105444,1.57687851892945,2.1511378848076
2021,1.76098736426564,1.51273391649462,2.01358078141925
2022,1.71454273092478,1.56159134253556,1.86964482008333
2023,1.68995046827063,1.4479281037992,1.93569323571816
2024,1.79337480096025,1.61024667825211,1.97880835697801
2025,1.62891467768332,1.36807946003393,1.8954210604702
