"season","alpha_hat","alpha_hat_p_value","beta_hat","beta1_hat_p_value","R_avg","gamma_hat","lower_bound","upper_bound","R_squared"
2006,0.499997443958797,7.49456800989073e-38,0.000602595911856632,2.97713022399533e-12,786.633333333333,1.89608812318729,1.56273937576024,2.22943687061434,0.829011584631819
2007,0.499979802570123,4.40437512589596e-38,0.000526370014087286,1.903350223726e-11,777.4,1.63680019580582,1.3249173205802,1.94868307103145,0.804971639340797
2008,0.499964434960434,1.43559962313304e-37,0.000642294956710762,4.24046419649272e-13,752.833333333333,1.93416421297501,1.62099201568423,2.24733641026579,0.851102604806372
2009,0.4999669282767,4.25258171176857e-37,0.000656504389071642,5.3519799772144e-13,747.3,1.96242291981295,1.64156964882314,2.28327619080277,0.848620604054012
2010,0.5,3.283318583833e-44,0.000575268816167246,1.02696597007896e-19,710.266666666667,1.63437705798556,1.48871183810838,1.78004227786274,0.949661362091382
2011,0.500001278020602,7.76239207455732e-38,0.000639023727804829,9.27225663601696e-14,693.6,1.77290743042172,1.50333908236932,2.04247577847411,0.866345851638527
2012,0.5,6.08995280988066e-39,0.000693558351219076,2.05526039819448e-15,700.566666666667,1.94353544900951,1.69005584837896,2.19701504964006,0.898062679563935
2013,0.499974753212654,6.21624516401571e-39,0.000632697441690729,1.07089939931177e-15,675.166666666667,1.70870489085943,1.4915205002036,1.92588928151526,0.902683988679475
2014,0.5,3.84151728089596e-39,0.000678576891744308,5.90975997784284e-13,658.7,1.7879143943679,1.49437724895642,2.08145153977939,0.847551172374837
2015,0.49999233187639,6.20686431773908e-36,0.000600525169452987,9.52184981880553e-11,688.233333333333,1.65320575649278,1.31472685715131,1.99168465583424,0.781416479220015
2016,0.500031950515042,5.30064707155973e-37,0.000578890301955234,3.74852585441019e-12,724.8,1.67831876342861,1.3803275733103,1.97630995354693,0.826193771838706
2017,0.5,1.71648735075585e-39,0.000541557107045703,1.50901145605295e-15,752.733333333333,1.63059234550748,1.42051152959452,1.84067316142043,0.900279422543571
2018,0.499918959380742,4.73765460983726e-37,0.000598994710000434,5.27608744875185e-16,721,1.72750074364125,1.51395517581291,1.9410463114696,0.907466167630853
2019,0.499946323134729,5.53898816625083e-40,0.00061055337702459,6.17613433143736e-20,782.233333333333,1.91038081315147,1.74333309069662,2.07742853560632,0.951453889849767
2020,0.499904214559387,6.63316175262697e-34,0.00162425077545095,3.48660110961475e-13,278.133333333333,1.8070331293817,1.51682251361318,2.09724374515022,0.853158287053089
2021,0.500001278020602,5.83458009247102e-36,0.000586291340780984,9.13599644034659e-15,733.666666666667,1.72056965474526,1.48242142619463,1.95871788329589,0.886648529308
2022,0.5,1.57719580572135e-40,0.00060707917875638,1.55360908483988e-19,693.9,1.68500896855621,1.53247717972487,1.83754075738755,0.948153390103265
2023,0.5,2.2866951583295e-37,0.000546452223536805,5.46831172589503e-15,747.733333333333,1.63440217045035,1.41278005683922,1.85602428406148,0.890712309807957
2024,0.500024282391432,7.74549795817893e-41,0.000619206217786118,7.00137598288184e-18,711.433333333333,1.76209577416121,1.57782170713228,1.94636984119015,0.931985129663942
2025,0.5,3.08531039823968e-37,0.00052815519428092,1.87822440530288e-13,720.466666666667,1.52207284922504,1.28381907310937,1.76032662534071,0.859471153727972
